timestamp,dissolved_oxygen_mg_l,ph,turbidity_ntu,chlorophyll_a_ug_l
2024-01-01 05:40:00,8.48,7.72,19.67,125.57
2024-01-01 05:50:00,11.81,7.22,10.83,28.25
2024-01-01 06:00:00,8.84,8.32,17.52,74.7
2024-01-01 06:10:00,6.64,6.53,3.14,21.01
2024-01-01 06:20:00,9.02,7.49,23.79,118.03
2024-01-01 06:30:00,5.53,7.95,22.71,98.43
2024-01-01 06:40:00,8.2,8.45,7.34,12.26
2024-01-01 06:50:00,10.69,8.25,21.45,57.23
2024-01-01 07:00:00,9.74,7.35,3.78,128.43
2024-01-01 07:10:00,11.23,6.52,4.32,98.84
2024-01-01 07:20:00,7.3,8.29,23.92,43.9
2024-01-01 07:30:00,10.13,7.25,9.23,21.51
2024-01-01 07:40:00,7.8,7.41,21.06,105.04
2024-01-01 07:50:00,8.35,7.34,22.27,29.18
2024-01-01 08:00:00,5.93,7.95,24.56,127.43
2024-01-01 08:10:00,5.73,8.32,12.58,87.5
2024-01-01 08:20:00,8.07,7.72,19.7,93.65
2024-01-01 08:30:00,11.04,8.26,18.45,134.31
2024-01-01 08:40:00,8.38,7.48,22.3,68.9
2024-01-01 08:50:00,5.44,7.81,1.3,130.91
2024-01-01 09:00:00,8.67,7.99,18.37,37.48
2024-01-01 09:10:00,11.69,8.25,13.46,104.8
2024-01-01 09:20:00,9.33,7.37,18.44,74.88
2024-01-01 09:30:00,9.65,7.78,4.57,124.83
2024-01-01 09:40:00,11.24,7.73,1.28,140.48
2024-01-01 09:50:00,8.54,7.44,12.9,28.98
2024-01-01 10:00:00,10.26,7.14,8.94,45.33
2024-01-01 10:10:00,8.55,7.6,10.09,123.48
2024-01-01 10:20:00,5.55,7.39,14.75,17.76
2024-01-01 10:30:00,8.49,7.13,24.54,113.06
2024-01-01 10:40:00,5.12,7.31,1.86,84.62
2024-01-01 10:50:00,10.78,8.08,24.12,97.44
2024-01-01 11:00:00,11.23,7.62,16.71,71.15
2024-01-01 11:10:00,7.39,8.15,20.6,127.43
2024-01-01 11:20:00,7.32,8.03,15.4,108.92
2024-01-01 11:30:00,7.54,7.41,3.34,100.54
2024-01-01 11:40:00,5.02,7.21,16.21,120.99
2024-01-01 11:50:00,8.83,7.25,3.55,135.05
2024-01-01 12:00:00,8.45,8.14,18.82,64.34
2024-01-01 12:10:00,6.78,6.89,3.9,128.57
2024-01-01 12:20:00,6.51,8.15,5.57,54.0
2024-01-01 12:30:00,10.3,6.59,16.2,102.46
2024-01-01 12:40:00,5.86,8.28,11.98,90.45
2024-01-01 12:50:00,8.53,8.43,1.1,111.75
2024-01-01 13:00:00,8.87,7.37,15.04,139.03
2024-01-01 13:10:00,10.47,8.32,17.6,30.18
2024-01-01 13:20:00,10.71,6.71,16.78,92.89
2024-01-01 13:30:00,7.25,8.26,11.05,93.3
2024-01-01 13:40:00,9.85,7.0,10.55,54.71
2024-01-01 13:50:00,7.06,8.11,4.32,92.37
2024-01-01 14:00:00,11.21,7.52,21.23,84.43
2024-01-01 14:10:00,7.2,7.97,14.29,36.51
2024-01-01 14:20:00,6.47,7.93,17.48,138.57
2024-01-01 14:30:00,5.93,7.92,24.4,30.78
2024-01-01 14:40:00,8.8,7.77,18.05,115.31
2024-01-01 14:50:00,8.94,7.67,23.62,107.97
2024-01-01 15:00:00,9.72,8.29,13.81,132.23
2024-01-01 15:10:00,7.96,6.53,3.56,60.23
2024-01-01 15:20:00,5.37,6.61,7.41,118.9
2024-01-01 15:30:00,11.88,7.87,4.51,13.99
2024-01-01 15:40:00,10.49,6.91,13.99,57.01
2024-01-01 15:50:00,8.17,7.73,17.21,86.47
2024-01-01 16:00:00,6.57,7.79,10.33,79.08
2024-01-01 16:10:00,10.58,7.89,17.63,11.81
2024-01-01 16:20:00,7.67,7.33,19.91,104.35
2024-01-01 16:30:00,11.76,6.61,18.85,34.45
2024-01-01 16:40:00,11.08,8.22,11.63,37.7
2024-01-01 16:50:00,9.44,7.92,9.83,90.32
2024-01-01 17:00:00,10.17,6.89,18.4,33.06
2024-01-01 17:10:00,8.14,8.47,2.79,144.56
2024-01-01 17:20:00,10.15,6.74,1.98,45.47
2024-01-01 17:30:00,6.85,6.82,21.3,5.82
2024-01-01 17:40:00,8.26,8.37,1.96,139.65
2024-01-01 17:50:00,9.18,8.05,16.01,127.26
2024-01-01 18:00:00,7.11,8.08,14.2,15.57
2024-01-01 18:10:00,9.95,7.55,23.97,80.49
2024-01-01 18:20:00,10.5,6.82,14.03,63.5
2024-01-01 18:30:00,7.45,8.27,16.92,53.0
2024-01-01 18:40:00,7.06,8.4,15.84,73.85
2024-01-01 18:50:00,8.93,8.0,16.58,21.63
2024-01-01 19:00:00,7.42,6.98,16.41,138.2
2024-01-01 19:10:00,6.71,6.58,22.26,60.3
2024-01-01 19:20:00,10.57,6.73,7.16,109.98
2024-01-01 19:30:00,5.17,7.53,19.49,79.57
2024-01-01 19:40:00,8.56,7.47,8.11,99.47
2024-01-01 19:50:00,7.24,6.66,3.3,145.89
2024-01-01 20:00:00,10.41,7.57,16.05,35.56
2024-01-01 20:10:00,9.41,6.93,17.45,126.17
2024-01-01 20:20:00,6.44,8.16,22.09,112.5
2024-01-01 20:30:00,8.05,8.13,2.73,104.48
2024-01-01 20:40:00,5.17,7.93,1.91,15.62
2024-01-01 20:50:00,6.25,7.0,2.69,124.13
2024-01-01 21:00:00,11.38,7.32,11.83,63.64
2024-01-01 21:10:00,7.21,7.28,3.84,5.86
2024-01-01 21:20:00,10.04,6.63,18.9,11.6
2024-01-01 21:30:00,10.94,7.22,13.07,47.03
2024-01-01 21:40:00,9.8,7.71,7.76,139.37
2024-01-01 21:50:00,7.67,8.14,1.74,27.67
2024-01-01 22:00:00,6.54,7.99,20.12,128.17
2024-01-01 22:10:00,7.06,7.77,8.15,133.61
2024-01-01 22:20:00,11.76,8.23,16.55,143.82
2024-01-01 22:30:00,5.08,8.25,4.39,11.06
2024-01-01 22:40:00,9.01,7.29,14.14,17.34
2024-01-01 22:50:00,6.47,7.98,18.42,35.7
2024-01-01 23:00:00,11.34,8.2,4.42,31.68
2024-01-01 23:10:00,9.32,7.01,3.75,102.29
2024-01-01 23:20:00,8.97,6.61,19.03,148.56
2024-01-01 23:30:00,8.84,7.79,2.76,102.39
2024-01-01 23:40:00,6.75,6.89,14.93,142.97
2024-01-01 23:50:00,7.5,7.84,6.63,46.34
2024-01-02 00:00:00,5.49,6.89,12.66,52.61
2024-01-02 00:10:00,9.62,7.89,4.66,87.19
2024-01-02 00:20:00,10.65,8.42,5.05,50.42
2024-01-02 00:30:00,10.5,7.92,16.38,45.12
2024-01-02 00:40:00,7.52,7.86,8.96,74.59
2024-01-02 00:50:00,8.12,8.05,12.69,20.78
2024-01-02 01:00:00,9.52,6.66,7.73,124.83
2024-01-02 01:10:00,11.24,6.89,18.61,95.86
2024-01-02 01:20:00,10.09,8.28,21.39,96.59
2024-01-02 01:30:00,10.69,7.66,19.46,35.85
2024-01-02 01:40:00,5.26,7.02,22.46,83.25
2024-01-02 01:50:00,9.58,6.8,10.42,134.26
2024-01-02 02:00:00,9.13,8.21,4.21,77.66
2024-01-02 02:10:00,5.63,7.23,1.25,39.64
2024-01-02 02:20:00,11.75,8.46,17.42,114.79
2024-01-02 02:30:00,5.98,6.82,14.59,87.04
2024-01-02 02:40:00,11.11,6.79,18.57,141.18
2024-01-02 02:50:00,5.28,8.02,6.56,43.33
2024-01-02 03:00:00,6.64,7.84,13.43,119.76
2024-01-02 03:10:00,7.72,8.34,22.16,10.79
2024-01-02 03:20:00,9.54,6.71,24.24,96.87
2024-01-02 03:30:00,6.91,7.98,14.89,87.67
2024-01-02 03:40:00,7.64,7.26,15.1,135.24
2024-01-02 03:50:00,5.54,7.0,24.34,37.32
2024-01-02 04:00:00,7.84,8.13,9.28,119.94
2024-01-02 04:10:00,11.21,6.51,22.17,68.79
2024-01-02 04:20:00,6.61,7.53,7.74,26.78
2024-01-02 04:30:00,6.1,7.7,20.61,100.86
2024-01-02 04:40:00,7.9,7.16,3.72,102.91
2024-01-02 04:50:00,8.35,7.68,16.53,64.58
2024-01-02 05:00:00,6.71,6.76,15.22,24.53
2024-01-02 05:10:00,8.59,8.28,4.52,29.12
2024-01-02 05:20:00,11.46,7.53,10.73,145.54
2024-01-02 05:30:00,9.46,8.26,18.47,124.09
2024-01-02 05:40:00,11.63,6.93,15.56,73.35
2024-01-02 05:50:00,8.37,6.94,10.86,25.69
2024-01-02 06:00:00,9.08,8.03,15.96,79.07
2024-01-02 06:10:00,6.17,7.87,23.14,91.5
2024-01-02 06:20:00,5.48,7.26,4.17,7.4
2024-01-02 06:30:00,8.66,8.32,17.42,124.84
2024-01-02 06:40:00,9.24,6.85,22.64,91.97
2024-01-02 06:50:00,11.14,7.56,19.06,18.51
2024-01-02 07:00:00,9.62,8.3,13.94,5.17
2024-01-02 07:10:00,11.56,7.86,11.36,66.0
2024-01-02 07:20:00,11.12,7.9,11.29,141.07
2024-01-02 07:30:00,8.37,8.04,9.41,121.67
2024-01-02 07:40:00,11.36,8.17,14.83,66.7
2024-01-02 07:50:00,6.78,8.03,22.84,17.15
2024-01-02 08:00:00,9.19,7.59,7.19,5.79
2024-01-02 08:10:00,10.21,6.51,13.54,80.37
2024-01-02 08:20:00,7.63,6.91,20.3,64.28
2024-01-02 08:30:00,5.75,7.35,15.05,42.89
2024-01-02 08:40:00,8.75,7.63,15.69,148.81
2024-01-02 08:50:00,7.78,6.91,14.25,85.85
2024-01-02 09:00:00,6.25,7.62,12.61,148.33
2024-01-02 09:10:00,9.04,8.05,10.56,25.02
